,Player,Play Style,Winners/UFE Ratio,Final Number of Games Won,Aces Won,Double Faults,Unforced Errors,Unnamed: 7,Unnamed: 8,Unnamed: 9,Cluster
0,Benoit Paire,Aggressive Baseliner,1.0,2.0,29.0,11.0,26.0,,,,3.0
1,Benoit Paire,Aggressive Baseliner,0.525423729,0.0,13.0,3.0,59.0,,,,0.0
2,Benoit Paire,Aggressive Baseliner,0.5625,0.0,6.0,9.0,64.0,,,,0.0
3,Benoit Paire,Aggressive Baseliner,0.8478260870000001,2.0,6.0,2.0,46.0,,,,2.0
4,Benoit Paire,Aggressive Baseliner,1.5428571430000002,0.0,9.0,3.0,35.0,,,,2.0
5,Benoit Paire,Aggressive Baseliner,1.733333333,3.0,32.0,5.0,45.0,,,,3.0
6,Benoit Paire,Aggressive Baseliner,2.32,3.0,24.0,6.0,25.0,,,,3.0
7,David Goffin,Aggressive Baseliner,1.0,0.0,7.0,8.0,34.0,,,,2.0
8,David Goffin,Aggressive Baseliner,0.842105263,1.0,7.0,2.0,38.0,,,,2.0
9,Dominic Thiem,Aggressive Baseliner,1.333333333,0.0,10.0,3.0,21.0,,,,1.0
10,Dominic Thiem,Aggressive Baseliner,6.666666667,3.0,20.0,3.0,3.0,,,,1.0
11,Dusan Lajovic,Defensive Baseliner,0.346938776,0.0,7.0,3.0,49.0,,,,0.0
12,Dusan Lajovic,Defensive Baseliner,0.49122807,3.0,7.0,7.0,57.0,,,,0.0
13,Fabio Fognini,Aggressive Baseliner,1.0,0.0,3.0,7.0,39.0,,,,2.0
14,Fabio Fognini,Aggressive Baseliner,0.454545455,0.0,3.0,7.0,44.0,,,,2.0
15,Fabio Fognini,Aggressive Baseliner,0.677419355,2.0,3.0,4.0,31.0,,,,2.0
16,Fabio Fognini,Aggressive Baseliner,0.796610169,1.0,3.0,2.0,59.0,,,,0.0
17,Fabio Fognini,Aggressive Baseliner,0.85,3.0,9.0,12.0,60.0,,,,0.0
18,Fabio Fognini,Aggressive Baseliner,0.944444444,2.0,7.0,4.0,36.0,,,,2.0
19,Fabio Fognini,Aggressive Baseliner,1.653846154,3.0,9.0,3.0,26.0,,,,1.0
20,Fabio Fognini,Aggressive Baseliner,1.772727273,1.0,10.0,5.0,22.0,,,,1.0
21,Fernando Verdasco,Aggressive Baseliner,0.0,2.0,5.0,14.0,24.0,,,,1.0
22,Fernando Verdasco,Aggressive Baseliner,0.7887323940000001,2.0,12.0,18.0,71.0,,,,0.0
23,Fernando Verdasco,Aggressive Baseliner,0.831460674,0.0,10.0,9.0,89.0,,,,0.0
24,Fernando Verdasco,Aggressive Baseliner,1.1,3.0,20.0,6.0,40.0,,,,3.0
25,Fernando Verdasco,Aggressive Baseliner,1.136363636,1.0,4.0,5.0,22.0,,,,1.0
26,Gael Monfils,Defensive Baseliner,1.0,1.0,7.0,3.0,21.0,,,,1.0
27,Gael Monfils,Defensive Baseliner,2.0,3.0,5.0,1.0,24.0,,,,1.0
28,Gael Monfils,Defensive Baseliner,0.578947368,0.0,10.0,5.0,57.0,,,,0.0
29,Gael Monfils,Defensive Baseliner,0.8787878790000001,2.0,8.0,4.0,33.0,,,,2.0
30,Gael Monfils,Defensive Baseliner,0.897058824,2.0,2.0,1.0,68.0,,,,0.0
31,Gael Monfils,Defensive Baseliner,1.3,3.0,13.0,3.0,30.0,,,,1.0
32,Gael Monfils,Defensive Baseliner,1.5,1.0,26.0,3.0,44.0,,,,3.0
33,Gael Monfils,Defensive Baseliner,1.5925925930000002,3.0,9.0,5.0,27.0,,,,1.0
34,Jan-Lennard Struff,Aggressive Baseliner,2.0,2.0,11.0,13.0,30.0,,,,1.0
35,Jan-Lennard Struff,Aggressive Baseliner,0.327868852,0.0,2.0,8.0,61.0,,,,0.0
36,Jan-Lennard Struff,Aggressive Baseliner,1.039215686,2.0,9.0,5.0,51.0,,,,0.0
37,John Isner,Serve and Volleyer,2.0,1.0,26.0,5.0,39.0,,,,3.0
38,John Isner,Serve and Volleyer,1.0,3.0,16.0,3.0,36.0,,,,3.0
39,John Isner,Serve and Volleyer,0.0,3.0,23.0,2.0,26.0,,,,3.0
40,John Isner,Serve and Volleyer,1.0,0.0,10.0,0.0,23.0,,,,1.0
41,John Isner,Serve and Volleyer,1.173076923,1.0,15.0,2.0,52.0,,,,0.0
42,John Isner,Serve and Volleyer,1.5862068969999998,1.0,27.0,0.0,58.0,,,,0.0
43,John Isner,Serve and Volleyer,1.793103448,0.0,14.0,1.0,29.0,,,,1.0
44,Kei Nishikori,Defensive Baseliner,0.0,0.0,3.0,8.0,38.0,,,,2.0
45,Kei Nishikori,Defensive Baseliner,0.35897435899999997,2.0,0.0,1.0,39.0,,,,2.0
46,Kei Nishikori,Defensive Baseliner,0.705882353,0.0,2.0,1.0,51.0,,,,0.0
47,Kei Nishikori,Defensive Baseliner,0.767857143,2.0,4.0,5.0,56.0,,,,0.0
48,Kei Nishikori,Defensive Baseliner,0.794117647,1.0,1.0,5.0,34.0,,,,2.0
49,Kei Nishikori,Defensive Baseliner,0.88,3.0,6.0,6.0,50.0,,,,0.0
50,Kei Nishikori,Defensive Baseliner,1.04,2.0,2.0,4.0,25.0,,,,1.0
51,Kei Nishikori,Defensive Baseliner,1.111111111,3.0,3.0,1.0,27.0,,,,1.0
52,Kei Nishikori,Defensive Baseliner,1.111111111,3.0,5.0,3.0,27.0,,,,1.0
