Player,Play Style,Winners/UFE Ratio,Final Number of Games Won,Aces Won,Double Faults,Unforced Errors,,,
Benoit Paire,Aggressive Baseliner,1,2,29,11,26,,,
Benoit Paire,Aggressive Baseliner,0.525423729,0,13,3,59,,,
Benoit Paire,Aggressive Baseliner,0.5625,0,6,9,64,,,
Benoit Paire,Aggressive Baseliner,0.847826087,2,6,2,46,,,
Benoit Paire,Aggressive Baseliner,1.542857143,0,9,3,35,,,
Benoit Paire,Aggressive Baseliner,1.733333333,3,32,5,45,,,
Benoit Paire,Aggressive Baseliner,2.32,3,24,6,25,,,
David Goffin,Aggressive Baseliner,1,0,7,8,34,,,
David Goffin,Aggressive Baseliner,0.842105263,1,7,2,38,,,
Dominic Thiem,Aggressive Baseliner,1.333333333,0,10,3,21,,,
Dominic Thiem,Aggressive Baseliner,6.666666667,3,20,3,3,,,
Dusan Lajovic,Defensive Baseliner,0.346938776,0,7,3,49,,,
Dusan Lajovic,Defensive Baseliner,0.49122807,3,7,7,57,,,
Fabio Fognini,Aggressive Baseliner,1,0,3,7,39,,,
Fabio Fognini,Aggressive Baseliner,0.454545455,0,3,7,44,,,
Fabio Fognini,Aggressive Baseliner,0.677419355,2,3,4,31,,,
Fabio Fognini,Aggressive Baseliner,0.796610169,1,3,2,59,,,
Fabio Fognini,Aggressive Baseliner,0.85,3,9,12,60,,,
Fabio Fognini,Aggressive Baseliner,0.944444444,2,7,4,36,,,
Fabio Fognini,Aggressive Baseliner,1.653846154,3,9,3,26,,,
Fabio Fognini,Aggressive Baseliner,1.772727273,1,10,5,22,,,
Fernando Verdasco,Aggressive Baseliner,0,2,5,14,24,,,
Fernando Verdasco,Aggressive Baseliner,0.788732394,2,12,18,71,,,
Fernando Verdasco,Aggressive Baseliner,0.831460674,0,10,9,89,,,
Fernando Verdasco,Aggressive Baseliner,1.1,3,20,6,40,,,
Fernando Verdasco,Aggressive Baseliner,1.136363636,1,4,5,22,,,
Gael Monfils,Defensive Baseliner,1,1,7,3,21,,,
Gael Monfils,Defensive Baseliner,2,3,5,1,24,,,
Gael Monfils,Defensive Baseliner,0.578947368,0,10,5,57,,,
Gael Monfils,Defensive Baseliner,0.878787879,2,8,4,33,,,
Gael Monfils,Defensive Baseliner,0.897058824,2,2,1,68,,,
Gael Monfils,Defensive Baseliner,1.3,3,13,3,30,,,
Gael Monfils,Defensive Baseliner,1.5,1,26,3,44,,,
Gael Monfils,Defensive Baseliner,1.592592593,3,9,5,27,,,
Jan-Lennard Struff,Aggressive Baseliner,2,2,11,13,30,,,
Jan-Lennard Struff,Aggressive Baseliner,0.327868852,0,2,8,61,,,
Jan-Lennard Struff,Aggressive Baseliner,1.039215686,2,9,5,51,,,
John Isner,Serve and Volleyer,2,1,26,5,39,,,
John Isner,Serve and Volleyer,1,3,16,3,36,,,
John Isner,Serve and Volleyer,0,3,23,2,26,,,
John Isner,Serve and Volleyer,1,0,10,0,23,,,
John Isner,Serve and Volleyer,1.173076923,1,15,2,52,,,
John Isner,Serve and Volleyer,1.586206897,1,27,0,58,,,
John Isner,Serve and Volleyer,1.793103448,0,14,1,29,,,
Kei Nishikori,Defensive Baseliner,0,0,3,8,38,,,
Kei Nishikori,Defensive Baseliner,0.358974359,2,0,1,39,,,
Kei Nishikori,Defensive Baseliner,0.705882353,0,2,1,51,,,
Kei Nishikori,Defensive Baseliner,0.767857143,2,4,5,56,,,
Kei Nishikori,Defensive Baseliner,0.794117647,1,1,5,34,,,
Kei Nishikori,Defensive Baseliner,0.88,3,6,6,50,,,
Kei Nishikori,Defensive Baseliner,1.04,2,2,4,25,,,
Kei Nishikori,Defensive Baseliner,1.111111111,3,3,1,27,,,
Kei Nishikori,Defensive Baseliner,1.111111111,3,5,3,27,,,
Milos Raonic,Serve and Volleyer,1,2,39,11,28,,,
Milos Raonic,Serve and Volleyer,0,3,9,2,38,,,
Milos Raonic,Serve and Volleyer,1,3,28,4,31,,,
Milos Raonic,Serve and Volleyer,2,3,28,6,25,,,
Milos Raonic,Serve and Volleyer,1.282051282,1,21,5,39,,,
Milos Raonic,Serve and Volleyer,1.315789474,0,16,1,38,,,
Milos Raonic,Serve and Volleyer,1.655172414,3,21,7,29,,,
Milos Raonic,Serve and Volleyer,1.694444444,2,16,2,36,,,
Milos Raonic,Serve and Volleyer,1.75,3,27,2,36,,,
Milos Raonic,Serve and Volleyer,1.785714286,0,24,5,42,,,
