<<<<<<< HEAD
name,country_name,country_id,opponent_name,opponent_country_name,opponent_country_id,date,tournament,level,bestOf,surface,indoor,speed,round,score,winner,return_to_svc_pnts_ratio
Novak Djokovic,Serbia,SRB,Mitchell Krueger,United States,USA,1/14/2019,Australian Open,G,5,H,FALSE,85,R128,6-3 6-2 6-2,TRUE,1.8
Kei Nishikori,Japan,JPN,Steve Johnson,United States,USA,7/1/2019,Wimbledon,G,5,G,FALSE,76,R32,6-4 6-3 6-2,TRUE,1.79
Kei Nishikori,Japan,JPN,Maximilian Marterer,Germany,GER,8/27/2018,US Open,G,5,H,FALSE,61,R128,6-2 6-2 6-3,TRUE,1.66
Novak Djokovic,Serbia,SRB,Kei Nishikori,Japan,JPN,1/14/2019,Australian Open,G,5,H,FALSE,85,QF,6-1 4-1 RET,TRUE,1.62
Taylor Harry Fritz,United States,USA,Bernard Tomic,Australia,AUS,5/26/2019,Roland Garros,G,5,C,FALSE,48,R128,6-1 6-4 6-1,TRUE,1.62
Gilles Simon,France,FRA,Sergiy Stakhovsky,Ukraine,UKR,5/26/2019,Roland Garros,G,5,C,FALSE,48,R128,6-3 6-3 6-4,TRUE,1.6
Gilles Simon,France,FRA,Lloyd George Muirhead Harris,South Africa,RSA,8/27/2018,US Open,G,5,H,FALSE,61,R128,6-2 6-2 6-3,TRUE,1.51
John Millman,Australia,AUS,Jenson Brooksby,United States,USA,8/27/2018,US Open,G,5,H,FALSE,61,R128,6-4 6-2 6-0,TRUE,1.5
David Goffin,Belgium,BEL,Miomir Kecmanovic,Serbia,SRB,5/26/2019,Roland Garros,G,5,C,FALSE,48,R64,6-2 6-4 6-3,TRUE,1.47
Lucas Pouille,France,FRA,Gregoire Barrere,France,FRA,7/1/2019,Wimbledon,G,5,G,FALSE,76,R64,6-1 7-6(0) 6-4,TRUE,1.45
Andrey Rublev,Russian Federation,RUS,Christian Garin,Chile,CHI,7/1/2019,Wimbledon,G,5,G,FALSE,76,R128,4-6 6-4 7-5 6-4,TRUE,1.45
Laslo Djere,Serbia,SRB,Richard Gasquet,France,FRA,8/27/2018,US Open,G,5,H,FALSE,61,R64,6-3 7-6(5) 6-3,FALSE,1.44
Novak Djokovic,Serbia,SRB,Lucas Pouille,France,FRA,1/14/2019,Australian Open,G,5,H,FALSE,85,SF,6-0 6-2 6-2,TRUE,1.4
Tommy Robredo,Spain,ESP,Stefanos Tsitsipas,Greece,GRE,8/27/2018,US Open,G,5,H,FALSE,61,R128,6-3 7-6(1) 6-4,FALSE,1.39
Philipp Kohlschreiber,Germany,GER,Matthew Ebden,Australia,AUS,8/27/2018,US Open,G,5,H,FALSE,61,R64,6-7(1) 6-3 6-2 6-0,TRUE,1.39
Denis Kudla,United States,USA,Malek Jaziri,Tunisia,TUN,7/1/2019,Wimbledon,G,5,G,FALSE,76,R128,6-4 6-1 6-3,TRUE,1.37
Rafael Nadal,Spain,ESP,James Duckworth,Australia,AUS,1/14/2019,Australian Open,G,5,H,FALSE,85,R128,6-4 6-3 7-5,TRUE,1.37
Kei Nishikori,Japan,JPN,Cameron Norrie,United Kingdom,GBR,7/1/2019,Wimbledon,G,5,G,FALSE,76,R64,6-4 6-4 6-0,TRUE,1.36
